dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name,cost_per_lead,conversion_rate
5/4/2024,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,761.86,2820,15,0.53191489,1.0,Facebook,USP-2_KA_TN_050424,761.86,6.666666666666667
5/4/2024,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,413.29,7045,19,0.26969482,1.0,Facebook,USP-2_AP_TS_050424,413.29,5.263157894736842
5/4/2024,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,886.83,3651,20,0.54779512,2.0,Facebook,USP-2_AP_TS_050424,443.415,10.0
5/4/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1328.0,2381,20,0.8399832,3.0,Facebook,All India Generic Leads Ad Set_240224,442.6666666666667,15.0
5/4/2024,USP_2_Lead-gen-1_220124,USP_S1_We-guarantee,381.27,361,8,2.21606648,2.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,190.635,25.0
5/4/2024,USP_2_Lead-gen-1_220124,USP_S2_Faced-rejection,78.84,22,1,4.54545455,1.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,78.84,100.0
5/3/2024,USP_2_Lead-gen-1_220124,USP_S1_We-guarantee,850.99,258,16,6.20155039,4.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,212.7475,25.0
5/3/2024,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,319.65,770,6,0.77922078,1.0,Facebook,USP-2_AP_TS_050424,319.65,16.666666666666664
5/3/2024,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,817.36,4019,15,0.37322717,1.0,Facebook,USP-2_AP_TS_050424,817.36,6.666666666666667
4/29/2024,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,100.34,120,2,1.66666667,1.0,Facebook,All India focusing on Uni Ad Set_060324,100.34,50.0
5/3/2024,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,196.95,161,4,2.48447205,1.0,Facebook,All India Generic Leads Ad Set_240224,196.95,25.0
5/3/2024,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,695.15,2884,10,0.34674064,2.0,Facebook,USP-2_KA_TN_050424,347.575,20.0
5/3/2024,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,288.4,3609,13,0.36021058,1.0,Facebook,USP-2_KA_TN_050424,288.4,7.6923076923076925
5/3/2024,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,366.85,2876,12,0.41724618,2.0,Facebook,USP-2_KA_TN_050424,183.425,16.666666666666664
5/3/2024,USP_2_Lead-gen-1_220124,State University Of New York_New,21.68,17,2,11.76470588,1.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,21.68,50.0
5/3/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1303.84,3069,28,0.9123493,4.0,Facebook,All India Generic Leads Ad Set_240224,325.96,14.285714285714285
5/3/2024,USP_2_Lead-gen-1_220124,#8 ( Graphic ) - Study In The USA,1437.39,6086,53,0.87085113,11.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,130.6718181818182,20.754716981132077
5/3/2024,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,131.23,533,5,0.9380863,1.0,Facebook,All India focusing on Uni Ad Set_060324,131.23,20.0
5/3/2024,USP_2_Lead-gen-1_220124,#6 ( Graphic ) - Master's Degree In 12 Months,703.13,1241,16,1.28928284,4.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,175.7825,25.0
5/3/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,894.06,614,11,1.79153094,1.0,Facebook,All India Generic Leads Ad Set_240224,894.06,9.090909090909092
5/3/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1100.84,434,16,3.68663594,4.0,Facebook,All India Counselling Look-a-like_290224,275.21,25.0
5/3/2024,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,402.81,194,1,0.51546392,2.0,Facebook,All India focusing on Uni Ad Set_060324,201.405,200.0
5/3/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1547.79,11589,95,0.81974286,1.0,Facebook,All India focusing on Uni Ad Set_060324,1547.79,1.0526315789473684
5/3/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,698.91,3218,30,0.93225606,2.0,Facebook,All India focusing on Uni Ad Set_060324,349.455,6.666666666666667
5/3/2024,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,149.24,253,8,3.16205534,2.0,Facebook,All India focusing on Uni Ad Set_060324,74.62,25.0
5/3/2024,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,688.23,138,15,10.86956522,7.0,Facebook,All India Counselling Look-a-like_290224,98.31857142857143,46.666666666666664
5/3/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,871.85,2712,38,1.40117994,5.0,Facebook,All India Counselling Look-a-like_290224,174.37,13.157894736842104
5/2/2024,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,333.49,80,8,10,2.0,Facebook,All India Counselling Look-a-like_290224,166.745,25.0
5/2/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1096.77,2411,37,1.53463293,7.0,Facebook,All India Counselling Look-a-like_290224,156.68142857142857,18.91891891891892
5/2/2024,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,89.97,252,3,1.19047619,1.0,Facebook,All India focusing on Uni Ad Set_060324,89.97,33.33333333333333
5/2/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1736.19,11517,94,0.81618477,4.0,Facebook,All India focusing on Uni Ad Set_060324,434.0475,4.25531914893617
5/2/2024,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,415.91,127,4,3.1496063,2.0,Facebook,All India focusing on Uni Ad Set_060324,207.955,50.0
5/2/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,699.57,2545,12,0.47151277,3.0,Facebook,All India focusing on Uni Ad Set_060324,233.19000000000003,25.0
5/2/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1440.58,371,16,4.31266846,7.0,Facebook,All India Counselling Look-a-like_290224,205.79714285714286,43.75
5/2/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1262.17,523,15,2.86806883,5.0,Facebook,All India Generic Leads Ad Set_240224,252.43400000000003,33.33333333333333
5/2/2024,USP_2_Lead-gen-1_220124,#6 ( Graphic ) - Master's Degree In 12 Months,678.0,650,8,1.23076923,2.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,339.0,25.0
5/2/2024,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,90.42,23,2,8.69565217,1.0,Facebook,All India Generic Leads Ad Set_240224,90.42,50.0
5/2/2024,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,83.44,34,2,5.88235294,1.0,Facebook,All India Generic Leads Ad Set_240224,83.44,50.0
